Tarih;Tweet;Hashtag
Jun 26, 2023;Erkek çocuklarýna tecavüz edip akordiyon Ýslami deðil diyerek parçalayan zihniye… Bu zihniyet her gün Türkiye’ye binlerce kiþi ile kaçak giriyor.;
Jun 26, 2023;Distaste isimli Twiter hesabýnýn twitini olduðu gibi alýntýlýyor, altýna bu twitin %100 doðruluðunun kanýtý olan bir video koyuyorum. “Avrupa'nýn gelmiþ geçmiþ en büyük lideri • Ne olduðu belirsiz 10 milyon insaný Avrupa sýnýrlarýndan uzak tutarak Batý'nýn refahýný korudu. • Maddi durumu düþük olan Avrupalýlar için kur farkýný 30 kat açarak ucuz tatil fýrsatý sundu. • Kur farkýndan dolayý ucuz saðlýk hizmetiyle Avrupa'ya can simidi oldu • Avrupa'daki eksik nitelikli eleman ihtiyacýný karþýladý. Doktor, mühendis vb. vasýflý insanlarýn Batýya gitmesi için elinden geleni yaptý. • Avrupa'dan her yýl en cok çöpü satýn alarak Batý'nýn çevre temizliðine bile el attý.”;
Jun 29, 2023;Þimdi deðil ise ne zaman?;
Jun 26, 2023;Kadýnlarý seks için kullanýlacak hayvan olarak gören bu zihniyet her gün Türkiye-Ýran sýnýrýndan geçerek ülkemize giriyor ve para, kadýn, silah yaðmasýnýn sözde cihat adý altýnda baþlayacaðý günü bekliyor. Zafer Partisi amasýz-fakatsýz bu istilaya tek baþýna direniyor. Zafer’e katýl, ülkenin iþgal edilmesine karþý çok geç olmadan mücadele et.;
Jun 30, 2023;Ýstanbul Esenyurt Fi tower sitesi 1755 dairenin bulunduðu bir site. Sitede Türkler azýnlýða düþmüþler. Araplar site yönetimini sahte veya þüpheli Vekaletnameler kullanarak ele geçirmiþler. Araplarýn çoðunluðu ele geçirdiði sitede harcamalar artmýþ. 2022’de 17 milyon, 2023’de 23 milyon ek bütçe çýkarmýþlar. Bu büyük rakamlara karþý çýkan Türk ev sahiplerine “fakir. Türk istemiyoruz” diyorlarmýþ. Azýnlýkta kalan Türkler Büyükçekmece cumhuriyet baþsavcýlýðýna þikayette bulunmuþ Büyükçekmece 1. Sulh hukuk mahkemesine dava açmýþ yaklaþýk 1 yýldýr hukuk mücadelesi veriyorlar. Aþaðýdaki görüntülerde site bahçesinde kalýnan bayram namazýndan. Türk imamýn arkasýnda namaz kýlmamak için bahçede kýlýyorlar. Bu sitede yaþananlar Türkiye’nin geleceðini anlatýyor. ;
Jun 25, 2023;Sevgili AK Partili kardeþim, AK Partili olmadan önce Türk Milleti’nin mensubusun. AK Parti kurulmadan önce vardýn AK Parti kapandýktan sonra sen, çocuðun, torununun olmaya devam edecek. Bu ve benzeri videolar ile uðruna 1000 yýldýr savaþtýðýmýz, binlerce þehit verdiðimiz topraklarýmýzýn haraç mezat satýlmasý haysiyetine dokunmuyor mu? Ayasofya’yý açtýk diyenlerin topraklarý satarak vatanýný, Ýstanbul’u elinden aldýðýný görmüyor musun? Allah aþkýna biraz düþün!! Bu sürece onay verirsen, Fatih Sultan Mehmet’in ve Atatürk’ün baþta olmak üzere bütün þehit ve gazilerimizin ruhunu inciteceksin. Sana Erdoðan’dan veya AK Parti’den vazgeç demiyorum (vazgeçip Zafer Partisi’ne gelmeni tabii isterim) ama vatanýnýn elinden alýnmasýna karþý çýk.;
Jun 25, 2023;Burasý Ýzmir. Afrikalý mahallesi. Türkiye’de 2 milyon civarýnda Afrikalý yaþýyor. Bu saðlýklý bir durum deðil. Afrikalýlarýn sayýsý her geçen gün artýyor. ;
Jun 25, 2023;Türkiye’deki suriyelilere yardým Kýzýlay kart ve BÝM kartý olarak daðýtýlýyor, Suriye’min kuzeyinde bankacýlýk altyapýsý olmadýðýndan bu kartlar bu þekilde PTT tarafýndan elden daðýtýlýyor. Ödeyen ise Türk halký.;
Jun 23, 2023;Ýstanbul Þirinevler’de IÞID hücresine yapýlan baskýnda Suriyeli terörist silah ve cephane ile yakalandý. Bu hücre evi ile ilgili ilk ihbar 22 Aðustos 2022’de yapýlmýþ. Bu ev gibi 100’lerce bilinen ve bilinmeyen terör hücresi mevcut. 13 milyon sýðýnmacý gitmeden IÞID bitmez;
Jun 26, 2023;Bugün Ýstanbul’da Zeytinburnu’nda bir Afgan bir baþka Afgan’ý silahla vururken ayný cafede oturan iki Türk vatandaþýný yaraladý. ýrkçý diyenlere duyurulur. Güvenlik ve istikrar istemek ýrkçýlýk deðildir.;
Jun 27, 2023;Bugün 27 Haziran 2023. 1 sene önce bugün Hatay’da Türkiye-Suriye sýnýrýna sembolik mayýn yerleþtirerek, sýnýrlarýmýzdan kaçak geçiþleri protesto etmek ve Türkiye’nin Ottawa Antlaþmasý’ndan çekilmesini gündeme getirmek istemiþtik. Soylu’nun emri ile durdurulduk, 15 saat bekletildik. Türkiye’nin her yerinden insanlarýn Hatay’a gelmeye baþlamasý üzerine geçiþ izni verilmek zorunda kalýndý. Bunlarý ve vatana, Atatürk’e ihanet edenleri unutmadýk, unutmayacaðýz.;
Jun 28, 2023;Bayram namazýný Horasan erenlerinden Ergülle Baba caminde Safranbolu’da kýldýk. Çok güzel bir cami. Gelin görün Safranbolu’ya gelince. Gerçi Diyanet cami statüsü vermemiþ duvarda Türkçe “Ancak sana ibadet eder ancak senden yardým dileriz” yazdýðý için. Resmi gerekçe etrafta yaþayan insan yok. Güzel bir bayram dilerim.;
Jun 24, 2023;Göç Ýdaresi ve Cumhuriyet Savcýlýðý derhal harekete geçmeli. ;
Jun 30, 2023;Kavimler göçünü oluþturan istilacýlar ile karþý karþýyayýz.;
Jun 27, 2023;Hama’dan son görüntüler…. “Sýðýnmacýlarý ateþ ve kanýn içine yollayamayýz” diyenlerin yalanlarý bir kez daha ortaya çýktý.;
Jun 30, 2023;Türk halký vatanýný savun, sahipsiz olmadýðýný göster. Demokratik tepkini ortaya koy. ;
